Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%_opp,ORB%_opp,DRB%_opp,TRB%_opp,AST%_opp,STL%_opp,BLK%_opp,TOV%_opp,ORtg_opp,eFG%_diff,ORB%_diff,DRB%_diff,TRB%_diff,AST%_diff,STL%_diff,BLK%_diff,TOV%_diff,ORtg_diff,year,player
On − Off,DEN,6%,-.004,+1.8,-6.3,-3.8,-1.6,+1.0,-0.1,-0.6,+2.9,+.064,+6.3,-1.8,+3.8,+2.6,+0.6,+1.1,+0.5,+10.7,-.067,-4.5,-4.5,-7.7,-4.2,+0.5,-1.3,-1.1,-7.7,1997,Jerome Allen
On Court,IND,685,.480,28.9,72.0,51.4,65.5,6.9,6.8,16.6,102.5,.472,28.0,71.1,48.6,61.9,10.2,10.5,14.3,100.7,+.008,+1.0,+1.0,+2.7,+3.6,-3.3,-3.7,+2.3,+1.8,1997,Jerome Allen
Off Court,IND,3266,.492,31.8,70.0,51.1,60.6,8.0,8.2,15.9,105.4,.481,30.0,68.2,48.9,62.1,9.1,7.7,15.8,104.0,+.011,+1.8,+1.8,+2.2,-1.5,-1.1,+0.5,+0.1,+1.5,1997,Jerome Allen
On − Off,IND,17%,-.012,-2.9,+2.0,+0.3,+4.9,-1.1,-1.4,+0.7,-2.9,-.009,-2.0,+2.9,-0.3,-0.2,+1.1,+2.8,-1.5,-3.3,-.003,-0.8,-0.8,+0.5,+5.1,-2.2,-4.2,+2.2,+0.3,1997,Jerome Allen
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Jerome Allen
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Jerome Allen
On Court,DEN,249,.483,30.5,63.2,45.7,62.8,7.4,8.2,15.0,105.0,.561,36.8,69.5,54.3,58.4,9.8,10.1,12.8,119.8,-.078,-6.3,-6.3,-8.6,+4.4,-2.4,-1.9,+2.2,-14.8,1997,Jerome Allen
Off Court,DEN,3713,.487,28.7,69.5,49.5,64.4,6.4,8.3,15.6,102.1,.497,30.5,71.3,50.5,55.8,9.2,9.0,12.3,109.1,-.011,-1.8,-1.8,-0.9,+8.6,-2.9,-0.6,+3.3,-7.1,1997,Jerome Allen
On − Off,DEN,6%,-.004,+1.8,-6.3,-3.8,-1.6,+1.0,-0.1,-0.6,+2.9,+.064,+6.3,-1.8,+3.8,+2.6,+0.6,+1.1,+0.5,+10.7,-.067,-4.5,-4.5,-7.7,-4.2,+0.5,-1.3,-1.1,-7.7,1997,Jerome Allen
On Court,IND,685,.480,28.9,72.0,51.4,65.5,6.9,6.8,16.6,102.5,.472,28.0,71.1,48.6,61.9,10.2,10.5,14.3,100.7,+.008,+1.0,+1.0,+2.7,+3.6,-3.3,-3.7,+2.3,+1.8,1997,Jerome Allen
Off Court,IND,3266,.492,31.8,70.0,51.1,60.6,8.0,8.2,15.9,105.4,.481,30.0,68.2,48.9,62.1,9.1,7.7,15.8,104.0,+.011,+1.8,+1.8,+2.2,-1.5,-1.1,+0.5,+0.1,+1.5,1997,Jerome Allen
On − Off,IND,17%,-.012,-2.9,+2.0,+0.3,+4.9,-1.1,-1.4,+0.7,-2.9,-.009,-2.0,+2.9,-0.3,-0.2,+1.1,+2.8,-1.5,-3.3,-.003,-0.8,-0.8,+0.5,+5.1,-2.2,-4.2,+2.2,+0.3,1997,Jerome Allen
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Jerome Allen
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Jerome Allen
On Court,DEN,249,.483,30.5,63.2,45.7,62.8,7.4,8.2,15.0,105.0,.561,36.8,69.5,54.3,58.4,9.8,10.1,12.8,119.8,-.078,-6.3,-6.3,-8.6,+4.4,-2.4,-1.9,+2.2,-14.8,1997,Jerome Allen
Off Court,DEN,3713,.487,28.7,69.5,49.5,64.4,6.4,8.3,15.6,102.1,.497,30.5,71.3,50.5,55.8,9.2,9.0,12.3,109.1,-.011,-1.8,-1.8,-0.9,+8.6,-2.9,-0.6,+3.3,-7.1,1997,Jerome Allen
On − Off,DEN,6%,-.004,+1.8,-6.3,-3.8,-1.6,+1.0,-0.1,-0.6,+2.9,+.064,+6.3,-1.8,+3.8,+2.6,+0.6,+1.1,+0.5,+10.7,-.067,-4.5,-4.5,-7.7,-4.2,+0.5,-1.3,-1.1,-7.7,1997,Jerome Allen
On Court,MIL,2525,0.499,29.8,69.8,49.8,55.1,8.7,6.5,14.8,106.3,0.502,30.2,70.2,50.2,61.8,8.8,7.6,14.4,108.2,-0.003,-0.4,-0.4,-0.4,-6.7,-0.2,-1.1,0.4,-1.9,1997,Ray Allen
Off Court,MIL,1395,0.491,29.4,70.1,50.1,52.5,8.3,6.8,17.2,102.7,0.499,29.9,70.6,49.9,58.4,10.1,6.7,15.3,105.2,-0.008,-0.5,-0.5,0.3,-5.8,-1.8,0.1,1.8,-2.5,1997,Ray Allen
On − Off,MIL,64%,0.008,0.4,-0.3,-0.3,2.6,0.4,-0.3,-2.4,3.6,0.003,0.3,-0.4,0.3,3.4,-1.3,0.9,-0.9,3.0,0.005,0.1,0.1,-0.7,-0.9,1.6,-1.2,-1.4,0.6,1997,Ray Allen
On Court,ATL,10,0.326,31.3,100.0,47.6,42.9,0.0,7.7,8.7,73.9,0.579,0.0,68.8,52.4,70.0,0.0,5.0,0.0,126.3,-0.253,31.3,31.3,-4.8,-27.1,0.0,2.7,8.7,-52.4,1997,Derrick Alston
Off Court,ATL,3926,0.499,31.5,69.1,50.8,55.4,9.6,8.5,15.1,107.2,0.472,30.9,68.5,49.2,59.3,8.4,7.4,16.1,100.2,0.027,0.7,0.7,1.6,-3.9,1.2,1.1,-1.0,7.1,1997,Derrick Alston
On − Off,ATL,0%,-0.173,-0.2,30.9,-3.2,-12.5,-9.6,-0.8,-6.4,-33.3,0.107,-30.9,0.3,3.2,10.7,-8.4,-2.4,-16.1,26.1,-0.28,30.6,30.6,-6.4,-23.2,-1.2,1.6,9.7,-59.5,1997,Derrick Alston
On Court,WSB,142,0.426,34.8,60.6,47.7,47.8,11.5,6.4,17.4,87.4,0.526,39.4,65.2,52.3,53.6,11.3,9.2,22.6,115.3,-0.1,-4.5,-4.5,-4.5,-5.8,0.2,-2.8,-5.2,-28.0,1997,Ashraf Amaya
Off Court,WSB,3799,0.508,30.2,70.4,50.7,60.2,9.1,7.6,14.3,107.3,0.489,29.6,69.8,49.3,55.6,8.6,5.8,16.4,103.2,0.019,0.6,0.6,1.3,4.7,0.5,1.8,-2.1,4.0,1997,Ashraf Amaya
On − Off,WSB,4%,-0.082,4.6,-9.8,-3.0,-12.4,2.4,-1.2,3.1,-19.9,0.037,9.8,-4.6,3.0,-2.0,2.7,3.4,6.2,12.1,-0.119,-5.1,-5.1,-5.8,-10.5,-0.3,-4.6,-3.1,-32.0,1997,Ashraf Amaya
On Court,SAS,1652,0.46,31.3,66.8,48.3,57.9,8.1,8.0,16.2,97.3,0.515,33.2,68.7,51.7,65.9,9.5,8.8,14.4,111.9,-0.055,-1.9,-1.9,-3.3,-7.9,-1.4,-0.8,1.9,-14.5,1997,Greg Anderson
Off Court,SAS,2269,0.481,33.3,66.9,49.6,59.3,9.3,9.1,15.2,104.4,0.513,33.1,66.7,50.4,64.6,8.8,8.4,15.6,109.5,-0.032,0.2,0.2,-0.7,-5.3,0.5,0.7,-0.4,-5.1,1997,Greg Anderson
On − Off,SAS,42%,-0.021,-2.0,-0.1,-1.3,-1.4,-1.2,-1.1,1.0,-7.1,0.002,0.1,2.0,1.3,1.3,0.7,0.4,-1.2,2.4,-0.023,-2.1,-2.1,-2.6,-2.6,-1.9,-1.5,2.3,-9.4,1997,Greg Anderson
On Court,POR,3069,0.506,31.5,72.9,52.6,57.3,8.4,8.6,15.1,107.9,0.478,27.1,68.5,47.4,60.9,8.3,8.3,14.9,102.3,0.029,4.4,4.4,5.1,-3.6,0.1,0.4,0.3,5.6,1997,Kenny Anderson
Off Court,POR,884,0.49,36.4,70.6,54.6,55.7,8.4,7.7,19.6,101.3,0.448,29.4,63.6,45.4,60.4,9.5,8.6,14.7,99.6,0.042,7.1,7.1,9.1,-4.7,-1.1,-1.0,4.9,1.6,1997,Kenny Anderson
On − Off,POR,78%,0.016,-4.9,2.3,-2.0,1.6,0.0,0.9,-4.5,6.6,0.03,-2.3,4.9,2.0,0.5,-1.2,-0.3,0.2,2.7,-0.013,-2.7,-2.7,-4.0,1.1,1.2,1.4,-4.6,4.0,1997,Kenny Anderson
On Court,ORL,2149,0.498,31.3,68.3,49.6,61.2,10.2,7.2,15.3,106.6,0.488,31.7,68.7,50.4,60.5,9.7,8.1,16.4,103.3,0.009,-0.4,-0.4,-0.8,0.7,0.5,-0.9,-1.1,3.3,1997,Nick Anderson
Off Court,ORL,1794,0.46,30.5,65.9,47.4,57.3,8.5,6.9,15.7,99.9,0.503,34.1,69.5,52.6,60.8,9.2,9.2,15.5,106.7,-0.044,-3.6,-3.6,-5.2,-3.6,-0.7,-2.3,0.2,-6.8,1997,Nick Anderson
On − Off,ORL,54%,0.038,0.8,2.4,2.2,3.9,1.7,0.3,-0.4,6.7,-0.015,-2.4,-0.8,-2.2,-0.3,0.5,-1.1,0.9,-3.4,0.053,3.2,3.2,4.4,4.3,1.2,1.4,-1.3,10.1,1997,Nick Anderson
On Court,UTA,1054,0.528,31.3,69.5,52.1,67.8,8.0,8.7,16.2,109.3,0.487,30.5,68.7,47.9,58.7,9.0,6.7,13.7,111.4,0.04,0.8,0.8,4.3,9.1,-1.0,2.1,2.5,-2.1,1997,Shandon Anderson
Off Court,UTA,2886,0.532,29.7,71.2,51.8,71.0,10.8,8.9,14.7,112.5,0.477,28.8,70.3,48.2,58.9,8.4,7.0,16.7,102.8,0.055,0.9,0.9,3.6,12.1,2.4,1.8,-2.1,9.7,1997,Shandon Anderson
On − Off,UTA,27%,-0.004,1.6,-1.7,0.3,-3.2,-2.8,-0.2,1.5,-3.2,0.01,1.7,-1.6,-0.3,-0.2,0.6,-0.3,-3.0,8.6,-0.015,-0.1,-0.1,0.7,-3.0,-3.4,0.3,4.6,-11.8,1997,Shandon Anderson
On Court,MIA,296,0.499,31.2,70.9,50.0,59.4,9.4,6.3,15.8,107.1,0.517,29.1,68.8,50.0,57.3,9.1,8.3,15.4,108.3,-0.018,2.2,2.2,0.0,2.1,0.3,-2.1,0.4,-1.2,1997,Willie Anderson
Off Court,MIA,3635,0.508,29.1,70.6,50.3,61.6,8.8,8.7,15.6,106.3,0.461,29.4,70.9,49.7,56.2,8.8,9.0,16.0,99.4,0.047,-0.3,-0.3,0.6,5.5,0.0,-0.3,-0.4,6.9,1997,Willie Anderson
On − Off,MIA,8%,-0.009,2.1,0.3,-0.3,-2.2,0.6,-2.4,0.2,0.8,0.056,-0.3,-2.1,0.3,1.1,0.3,-0.7,-0.6,8.9,-0.065,2.5,2.5,-0.6,-3.4,0.3,-1.8,0.8,-8.1,1997,Willie Anderson
On Court,VAN,1847,0.472,29.9,64.3,47.0,68.1,8.8,9.4,15.2,100.6,0.508,35.8,70.1,53.0,63.1,9.6,9.0,16.7,109.5,-0.036,-5.9,-5.9,-6.1,5.0,-0.8,0.4,-1.5,-8.9,1997,Greg Anthony
Off Court,VAN,2079,0.471,29.6,63.9,46.4,64.2,9.0,8.4,15.9,99.4,0.511,36.1,70.4,53.6,64.5,10.1,8.7,15.9,111.1,-0.04,-6.4,-6.4,-7.2,-0.3,-1.1,-0.3,0.0,-11.7,1997,Greg Anthony
On − Off,VAN,47%,0.001,0.3,0.4,0.6,3.9,-0.2,1.0,-0.7,1.2,-0.003,-0.3,-0.3,-0.6,-1.4,-0.5,0.3,0.8,-1.6,0.004,0.5,0.5,1.1,5.3,0.3,0.7,-1.5,2.8,1997,Greg Anthony
On Court,GSW,1014,0.482,30.2,66.4,48.1,59.8,7.4,6.8,14.7,104.2,0.519,33.6,69.8,51.9,67.2,8.4,7.1,14.8,112.3,-0.037,-3.5,-3.5,-3.9,-7.5,-1.0,-0.3,-0.1,-8.0,1997,B.J. Armstrong
Off Court,GSW,2942,0.497,33.2,67.7,50.5,61.1,8.1,6.8,17.3,105.3,0.518,32.3,66.8,49.5,67.6,11.4,7.4,14.9,111.1,-0.021,0.8,0.8,1.0,-6.4,-3.3,-0.6,2.4,-5.9,1997,B.J. Armstrong
On − Off,GSW,26%,-0.015,-3.0,-1.3,-2.4,-1.3,-0.7,0.0,-2.6,-1.1,0.001,1.3,3.0,2.4,-0.4,-3.0,-0.3,-0.1,1.2,-0.016,-4.3,-4.3,-4.9,-1.1,2.3,0.3,-2.5,-2.1,1997,B.J. Armstrong
On Court,ORL,999,0.473,31.6,66.7,48.4,58.3,9.5,6.8,15.3,103.5,0.493,33.3,68.4,51.6,60.3,9.1,9.2,17.0,104.7,-0.02,-1.7,-1.7,-3.2,-2.0,0.4,-2.4,-1.8,-1.2,1997,Darrell Armstrong
Off Court,ORL,2944,0.483,30.7,67.4,48.7,59.9,9.4,7.2,15.6,103.6,0.496,32.6,69.3,51.3,60.7,9.6,8.4,15.7,104.9,-0.013,-1.9,-1.9,-2.6,-0.8,-0.2,-1.2,-0.1,-1.3,1997,Darrell Armstrong
On − Off,ORL,25%,-0.01,0.9,-0.7,-0.3,-1.6,0.1,-0.4,-0.3,-0.1,-0.003,0.7,-0.9,0.3,-0.4,-0.5,0.8,1.3,-0.2,-0.007,0.2,0.2,-0.6,-1.2,0.6,-1.2,-1.7,0.1,1997,Darrell Armstrong
On Court,NJN,7,.429,50.0,50.0,50.0,66.7,16.7,12.5,18.2,127.3,.650,50.0,50.0,50.0,50.0,9.1,0.0,33.3,116.7,-.221,0.0,0.0,0.0,+16.7,+7.6,+12.5,-15.2,+10.6,1997,Vincent Askew
Off Court,NJN,3917,.456,36.5,69.0,51.8,57.6,8.7,9.1,14.2,104.0,.502,31.0,63.5,48.2,62.1,8.8,9.0,15.9,107.3,-.046,+5.5,+5.5,+3.5,-4.5,-0.1,+0.1,-1.7,-3.3,1997,Vincent Askew
On − Off,NJN,0%,-.027,+13.5,-19.0,-1.8,+9.1,+8.0,+3.4,+4.0,+23.3,+.148,+19.0,-13.5,+1.8,-12.1,+0.3,-9.0,+17.4,+9.4,-.175,-5.5,-5.5,-3.5,+21.2,+7.7,+12.4,-13.5,+13.9,1997,Vincent Askew
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Vincent Askew
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Vincent Askew
On Court,IND,814,.486,29.4,72.2,52.5,61.4,6.8,7.9,16.4,103.1,.458,27.8,70.6,47.5,61.9,8.9,10.0,13.9,101.6,+.029,+1.6,+1.6,+5.0,-0.5,-2.1,-2.1,+2.5,+1.5,1997,Vincent Askew
Off Court,IND,3137,.491,31.7,69.9,50.8,61.4,8.1,8.0,15.9,105.4,.485,30.1,68.3,49.2,62.1,9.4,7.7,16.0,103.8,+.006,+1.6,+1.6,+1.6,-0.7,-1.3,+0.3,0.0,+1.5,1997,Vincent Askew
On − Off,IND,21%,-.005,-2.3,+2.3,+1.7,+0.0,-1.3,-0.1,+0.5,-2.3,-.027,-2.3,+2.3,-1.7,-0.2,-0.5,+2.3,-2.1,-2.2,+.023,+0.0,+0.0,+3.4,+0.2,-0.8,-2.4,+2.5,+0.0,1997,Vincent Askew
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Vincent Askew
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Vincent Askew
On Court,DEN,9,.154,22.2,85.7,50.0,50.0,0.0,0.0,36.8,31.6,.679,14.3,77.8,50.0,100.0,15.8,8.3,11.1,138.9,-.525,+7.9,+7.9,0.0,-50.0,-15.8,-8.3,+25.7,-107.3,1997,Vincent Askew
Off Court,DEN,3953,.487,28.8,69.1,49.3,64.3,6.5,8.3,15.5,102.4,.501,30.9,71.2,50.7,55.9,9.3,9.0,12.3,109.7,-.014,-2.0,-2.0,-1.4,+8.4,-2.8,-0.7,+3.2,-7.3,1997,Vincent Askew
On − Off,DEN,0%,-.333,-6.6,+16.6,+0.7,-14.3,-6.5,-8.3,+21.3,-70.8,+.178,-16.6,+6.6,-0.7,+44.1,+6.5,-0.7,-1.2,+29.2,-.511,+9.9,+9.9,+1.4,-58.4,-13.0,-7.6,+22.5,-100.0,1997,Vincent Askew
On Court,NJN,7,.429,50.0,50.0,50.0,66.7,16.7,12.5,18.2,127.3,.650,50.0,50.0,50.0,50.0,9.1,0.0,33.3,116.7,-.221,0.0,0.0,0.0,+16.7,+7.6,+12.5,-15.2,+10.6,1997,Vincent Askew
Off Court,NJN,3917,.456,36.5,69.0,51.8,57.6,8.7,9.1,14.2,104.0,.502,31.0,63.5,48.2,62.1,8.8,9.0,15.9,107.3,-.046,+5.5,+5.5,+3.5,-4.5,-0.1,+0.1,-1.7,-3.3,1997,Vincent Askew
On − Off,NJN,0%,-.027,+13.5,-19.0,-1.8,+9.1,+8.0,+3.4,+4.0,+23.3,+.148,+19.0,-13.5,+1.8,-12.1,+0.3,-9.0,+17.4,+9.4,-.175,-5.5,-5.5,-3.5,+21.2,+7.7,+12.4,-13.5,+13.9,1997,Vincent Askew
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Vincent Askew
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Vincent Askew
On Court,IND,814,.486,29.4,72.2,52.5,61.4,6.8,7.9,16.4,103.1,.458,27.8,70.6,47.5,61.9,8.9,10.0,13.9,101.6,+.029,+1.6,+1.6,+5.0,-0.5,-2.1,-2.1,+2.5,+1.5,1997,Vincent Askew
Off Court,IND,3137,.491,31.7,69.9,50.8,61.4,8.1,8.0,15.9,105.4,.485,30.1,68.3,49.2,62.1,9.4,7.7,16.0,103.8,+.006,+1.6,+1.6,+1.6,-0.7,-1.3,+0.3,0.0,+1.5,1997,Vincent Askew
On − Off,IND,21%,-.005,-2.3,+2.3,+1.7,+0.0,-1.3,-0.1,+0.5,-2.3,-.027,-2.3,+2.3,-1.7,-0.2,-0.5,+2.3,-2.1,-2.2,+.023,+0.0,+0.0,+3.4,+0.2,-0.8,-2.4,+2.5,+0.0,1997,Vincent Askew
,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,Difference,1997,Vincent Askew
Split,Tm,MP,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,1997,Vincent Askew
On Court,DEN,9,.154,22.2,85.7,50.0,50.0,0.0,0.0,36.8,31.6,.679,14.3,77.8,50.0,100.0,15.8,8.3,11.1,138.9,-.525,+7.9,+7.9,0.0,-50.0,-15.8,-8.3,+25.7,-107.3,1997,Vincent Askew
Off Court,DEN,3953,.487,28.8,69.1,49.3,64.3,6.5,8.3,15.5,102.4,.501,30.9,71.2,50.7,55.9,9.3,9.0,12.3,109.7,-.014,-2.0,-2.0,-1.4,+8.4,-2.8,-0.7,+3.2,-7.3,1997,Vincent Askew
On − Off,DEN,0%,-.333,-6.6,+16.6,+0.7,-14.3,-6.5,-8.3,+21.3,-70.8,+.178,-16.6,+6.6,-0.7,+44.1,+6.5,-0.7,-1.2,+29.2,-.511,+9.9,+9.9,+1.4,-58.4,-13.0,-7.6,+22.5,-100.0,1997,Vincent Askew
On Court,NJN,7,.429,50.0,50.0,50.0,66.7,16.7,12.5,18.2,127.3,.650,50.0,50.0,50.0,50.0,9.1,0.0,33.3,116.7,-.221,0.0,0.0,0.0,+16.7,+7.6,+12.5,-15.2,+10.6,1997,Vincent Askew
Off Court,NJN,3917,.456,36.5,69.0,51.8,57.6,8.7,9.1,14.2,104.0,.502,31.0,63.5,48.2,62.1,8.8,9.0,15.9,107.3,-.046,+5.5,+5.5,+3.5,-4.5,-0.1,+0.1,-1.7,-3.3,1997,Vincent Askew
